N,P,K,temperature,humidity,ph,rainfall,soil_type,season_duration,label
101,5,19,21.9,58,6.26,765,Silty Clay,159,Wheat
27,0,21,31.6,52,5.94,431,Loam,216,Sorghum
82,51,49,29.9,70,6.06,628,Sandy Loam,164,Maize
86,28,50,24.9,52,6.84,709,Silty Clay,196,Maize
124,60,30,25.3,89,4.82,2202,Sandy Loam,207,Tea
34,9,25,25.9,60,7.95,501,Sandy Loam,114,Sorghum
50,9,64,27.5,66,6.67,672,Loam,137,Cassava
103,40,51,10.8,55,6.86,615,Loam,223,Wheat
31,44,62,31.3,45,6.14,170,Sandy Loam,136,Sorghum
55,33,36,31.9,39,5.48,341,Sandy Loam,147,Sorghum
32,28,54,23.4,79,4.81,945,Clay,87,Cassava
51,18,21,25.0,28,6.86,373,Loam,174,Sorghum
21,16,53,21.3,56,8.19,304,Loam,202,Sorghum
47,33,24,17.3,44,6.77,375,Loam,132,Wheat
50,27,23,24.2,50,5.47,572,Sandy Loam,176,Beans
74,47,73,26.8,63,6.93,308,Clay,186,Maize
74,22,42,22.2,67,6.03,444,Silty Loam,163,Tomato
19,33,50,19.6,74,5.74,900,Sandy Loam,181,Cassava
32,31,49,15.2,48,6.94,764,Loam,203,Wheat
38,26,51,19.6,43,7.43,431,Silty Clay,168,Wheat
62,34,63,28.8,22,7.65,127,Sandy Loam,167,Sorghum
32,45,29,22.3,65,7.12,531,Sandy Loam,220,Beans
67,42,40,22.5,69,6.79,758,Loam,114,Maize
57,48,48,20.5,66,5.61,341,Silty Clay,261,Maize
51,10,28,30.6,67,6.16,338,Sandy Loam,211,Sorghum
27,32,28,28.9,72,8.09,359,Silty Loam,209,Sorghum
98,28,44,24.3,57,5.91,858,Loam,188,Maize
32,0,12,31.5,59,7.7,371,Clay,159,Sorghum
94,50,43,22.0,69,6.74,343,Clay,245,Beans
59,43,41,21.5,69,6.28,496,Loam,152,Tomato
115,17,70,17.6,78,7.54,440,Sandy Loam,183,Wheat
47,11,36,31.1,83,6.67,616,Clay,210,Cassava
27,23,53,23.6,37,6.36,534,Silty Loam,148,Sorghum
91,26,31,19.2,64,7.83,470,Sandy Loam,99,Wheat
95,44,59,17.7,51,8.11,412,Silty Loam,204,Wheat
29,31,76,22.6,73,5.8,1278,Loam,204,Cassava
36,25,16,28.3,37,6.66,577,Sandy Loam,215,Sorghum
92,55,25,21.8,74,7.45,514,Sandy Loam,234,Maize
75,33,63,23.2,62,6.77,387,Sandy Loam,172,Wheat
34,36,29,9.0,58,7.99,618,Silty Loam,188,Wheat
76,14,27,31.2,51,7.48,433,Loam,276,Maize
34,15,7,24.4,65,6.47,421,Loam,115,Beans
33,15,13,19.9,46,6.33,577,Silty Loam,152,Wheat
118,43,29,18.0,50,7.28,471,Loam,195,Wheat
79,27,88,29.1,55,5.45,1165,Loam,160,Tomato
18,36,16,29.5,69,5.79,494,Loam,170,Beans
93,31,74,10.7,56,7.67,339,Silty Loam,207,Wheat
49,41,40,17.9,73,6.35,758,Loam,113,Beans
24,50,27,24.3,59,7.21,404,Loam,163,Beans
31,33,48,32.8,55,5.9,528,Loam,148,Sorghum
26,38,35,15.7,73,6.68,311,Loam,212,Beans
71,16,74,18.7,84,4.76,2295,Silty Loam,136,Tea
99,15,51,21.6,78,6.29,333,Loam,180,Beans
83,62,53,19.4,48,7.02,655,Loam,168,Tomato
57,51,64,23.8,87,5.63,877,Sandy Loam,148,Maize
52,26,53,23.5,50,7.31,785,Silty Clay,190,Beans
77,57,44,27.9,72,5.98,363,Clay,144,Tomato
74,55,55,14.7,48,6.7,663,Loam,172,Wheat
52,14,71,11.5,44,7.71,753,Silty Loam,158,Wheat
119,53,67,29.6,63,6.98,336,Loam,191,Maize
84,20,72,14.2,59,6.52,554,Loam,168,Wheat
63,37,16,34.8,62,6.49,540,Loam,178,Sorghum
69,7,62,22.6,90,6.33,303,Loam,202,Maize
30,19,55,26.6,78,5.23,1329,Sandy Loam,170,Cassava
85,18,82,12.8,64,7.23,480,Sandy Loam,154,Wheat
76,30,21,25.8,62,6.04,280,Loam,323,Beans
44,28,23,29.8,28,6.36,376,Clay,156,Sorghum
31,12,48,21.0,69,7.86,414,Loam,190,Wheat
44,9,61,27.9,49,6.35,393,Clay,164,Sorghum
38,23,27,26.6,89,7.26,531,Loam,145,Beans
49,26,35,15.5,51,6.07,725,Clay,168,Wheat
75,30,30,9.9,63,7.31,755,Clay,188,Wheat
40,45,65,20.8,65,7.44,1033,Loam,189,Tomato
105,46,48,17.2,78,4.52,2848,Sandy Loam,169,Tea
89,50,49,10.3,67,7.65,731,Loam,216,Wheat
27,15,27,25.9,42,6.96,337,Sandy Loam,217,Sorghum
56,56,47,17.2,79,7.02,721,Sandy Loam,241,Maize
94,35,62,22.6,79,5.61,318,Silty Clay,174,Maize
92,30,17,19.1,64,5.64,411,Sandy Loam,209,Maize
36,27,42,28.2,80,7.31,627,Clay,170,Cassava
37,8,77,29.8,81,7.53,1273,Sandy Loam,181,Cassava
112,19,50,24.4,75,6.94,343,Loam,158,Maize
75,25,19,23.2,73,6.04,546,Silty Clay,225,Beans
78,29,38,22.0,60,6.2,516,Clay,209,Beans
107,43,15,23.9,60,6.5,479,Clay,133,Tomato
96,12,48,20.7,71,5.93,586,Sandy Loam,177,Maize
19,37,62,16.1,47,7.15,240,Sandy Loam,134,Beans
127,5,39,31.9,46,6.62,467,Sandy Loam,185,Maize
30,20,44,13.9,73,6.45,361,Clay,212,Wheat
56,39,62,25.2,58,5.37,398,Loam,138,Beans
68,8,57,18.4,45,6.36,548,Silty Loam,164,Wheat
112,33,42,21.9,76,6.17,2714,Sandy Loam,170,Tea
90,39,23,21.8,51,7.28,350,Sandy Loam,159,Wheat
61,34,70,31.5,67,5.94,1109,Clay,197,Tomato
50,25,41,28.4,54,6.26,236,Loam,137,Sorghum
79,43,9,24.0,65,6.35,500,Clay,200,Maize
36,13,42,15.8,60,8.15,422,Loam,162,Wheat
34,3,35,25.1,43,6.37,242,Clay,160,Sorghum
80,41,79,19.5,50,6.16,1142,Sandy Loam,151,Tomato
58,45,7,22.5,54,7.46,658,Loam,113,Beans
71,14,19,21.1,77,7.5,357,Sandy Loam,97,Maize
119,56,11,21.0,75,6.59,919,Silty Clay,165,Maize
37,7,63,30.0,91,6.95,1104,Loam,233,Cassava
106,38,44,30.9,84,5.63,784,Clay,230,Maize
68,36,69,27.2,61,6.09,554,Clay,213,Tomato
86,39,14,24.0,75,7.06,811,Silty Loam,161,Beans
19,16,33,23.8,72,6.87,159,Loam,201,Beans
22,38,82,31.3,68,7.29,1479,Silty Clay,143,Cassava
45,5,52,21.9,81,4.72,981,Sandy Loam,136,Cassava
91,42,43,24.7,42,7.21,316,Loam,129,Wheat
49,30,3,27.8,58,7.41,190,Silty Loam,202,Sorghum
2,38,25,26.8,54,7.3,426,Sandy Loam,205,Sorghum
76,16,37,19.7,48,5.47,305,Sandy Loam,183,Beans
95,24,54,20.8,32,6.14,699,Silty Loam,178,Wheat
103,27,90,25.7,65,7.14,1021,Loam,176,Tomato
77,41,31,15.4,61,7.94,257,Loam,95,Wheat
67,34,46,14.1,42,6.89,630,Loam,213,Wheat
60,47,38,9.7,42,8.0,748,Clay,145,Wheat
112,23,74,27.5,72,6.95,730,Loam,205,Maize
62,27,44,21.0,72,7.18,400,Silty Loam,197,Maize
59,2,67,12.4,55,6.38,683,Sandy Loam,181,Wheat
38,36,30,22.4,97,5.42,401,Loam,169,Beans
31,38,22,24.5,73,5.28,1410,Clay,205,Cassava
56,38,32,17.9,64,7.37,500,Loam,166,Wheat
69,20,39,25.2,56,7.42,806,Silty Loam,206,Maize
23,4,40,24.4,77,4.47,1272,Loam,168,Cassava
74,24,25,26.3,48,7.14,645,Sandy Loam,182,Maize
88,43,34,22.5,48,7.29,439,Silty Loam,167,Maize
39,54,5,15.3,76,7.93,638,Loam,206,Wheat
92,25,57,24.7,71,6.64,530,Clay,201,Maize
45,28,33,22.8,66,6.12,415,Sandy Loam,116,Beans
109,32,36,9.6,26,6.08,539,Clay,207,Wheat
32,36,39,19.7,80,6.01,418,Loam,203,Beans
67,53,12,26.4,52,7.2,653,Silty Loam,243,Maize
71,17,59,17.4,50,6.29,369,Silty Clay,216,Wheat
64,26,35,22.6,85,5.26,579,Clay,239,Beans
67,67,49,21.2,73,6.48,779,Loam,193,Tomato
42,31,33,17.5,58,6.66,655,Clay,217,Wheat
48,21,85,20.9,81,7.44,1052,Silty Clay,159,Cassava
61,51,26,15.7,63,6.92,331,Clay,178,Wheat
35,32,38,20.5,92,6.31,648,Loam,220,Beans
59,38,45,25.4,49,5.98,575,Silty Clay,244,Maize
97,37,14,10.5,34,6.85,654,Sandy Loam,119,Wheat
41,31,48,27.7,55,6.2,962,Silty Clay,146,Cassava
63,16,39,22.7,80,6.55,369,Loam,188,Beans
21,31,50,28.9,59,7.38,201,Silty Loam,239,Sorghum
99,19,57,24.4,48,6.82,556,Loam,123,Maize
79,4,56,24.3,66,6.77,689,Loam,172,Maize
66,26,29,27.9,66,6.26,271,Sandy Loam,167,Beans
50,45,57,27.3,70,6.01,460,Loam,224,Beans
36,15,93,26.5,58,6.49,1197,Silty Clay,188,Cassava
96,40,52,22.7,74,6.47,618,Loam,163,Maize
35,10,61,21.4,63,4.29,563,Silty Clay,209,Cassava
47,29,50,29.1,30,7.24,200,Silty Loam,160,Sorghum
73,28,60,22.7,80,5.89,696,Sandy Loam,227,Maize
30,39,63,31.1,39,6.15,115,Loam,221,Sorghum
97,46,15,15.9,91,7.27,771,Loam,174,Wheat
37,19,65,18.3,55,6.58,579,Clay,97,Wheat
30,36,22,25.7,61,5.94,547,Silty Loam,165,Beans
46,14,20,28.0,54,5.81,265,Sandy Loam,156,Sorghum
59,12,35,22.0,57,6.85,886,Silty Clay,195,Tomato
80,15,58,20.7,73,5.23,530,Silty Loam,97,Beans
35,13,67,23.2,80,7.51,1051,Loam,178,Cassava
1,12,14,26.1,52,6.35,183,Silty Loam,204,Sorghum
50,9,57,31.9,27,7.42,566,Loam,182,Sorghum
69,7,43,17.9,45,7.89,376,Silty Loam,127,Wheat
34,35,27,22.1,39,6.79,564,Silty Loam,158,Sorghum
132,46,40,16.0,75,6.4,1551,Silty Clay,163,Tea
125,68,91,28.0,56,6.97,806,Sandy Loam,281,Tomato
37,33,63,32.8,46,6.34,170,Sandy Loam,104,Sorghum
110,53,57,17.5,79,5.36,2003,Clay,126,Tea
99,18,54,27.2,65,5.36,407,Loam,181,Beans
93,49,32,25.9,57,6.02,557,Sandy Loam,167,Beans
109,33,59,24.8,70,6.25,811,Sandy Loam,124,Maize
35,41,16,26.4,57,5.9,510,Silty Loam,169,Sorghum
50,49,15,16.9,82,6.29,636,Sandy Loam,257,Beans
94,18,42,28.2,62,6.45,518,Loam,150,Maize
76,36,43,23.2,41,6.48,365,Sandy Loam,257,Maize
47,5,0,22.0,47,5.82,354,Silty Loam,185,Sorghum
71,17,56,21.5,68,5.74,694,Clay,140,Beans
99,53,70,24.5,60,6.39,1159,Sandy Loam,100,Tomato
29,45,25,20.7,68,6.42,832,Loam,159,Wheat
40,29,39,31.8,54,5.68,427,Sandy Loam,166,Sorghum
121,25,36,22.8,61,7.79,555,Loam,211,Wheat
49,43,39,19.7,62,7.07,814,Silty Clay,159,Maize
21,29,48,27.2,58,6.98,506,Clay,169,Sorghum
40,36,50,33.2,58,5.99,242,Clay,122,Sorghum
78,27,27,20.0,47,7.2,824,Clay,139,Beans
34,29,62,31.7,81,5.16,1135,Sandy Loam,149,Cassava
33,18,32,28.4,43,7.96,287,Clay,205,Sorghum
39,24,7,33.1,31,7.88,459,Silty Loam,247,Sorghum
119,65,41,20.6,70,6.97,949,Clay,221,Tomato
42,37,18,35.2,53,6.59,103,Sandy Loam,159,Sorghum
84,46,74,20.3,70,6.52,275,Loam,228,Tomato
115,66,59,17.0,45,7.92,341,Silty Loam,164,Wheat
51,49,66,24.1,58,6.87,772,Sandy Loam,171,Maize
89,27,64,13.4,54,7.79,503,Silty Loam,160,Wheat
48,29,15,36.2,54,6.18,227,Sandy Loam,127,Sorghum
51,42,29,21.5,60,6.28,401,Loam,166,Wheat
62,58,18,20.3,67,6.12,327,Silty Clay,209,Wheat
100,35,85,19.7,84,5.25,1574,Loam,182,Tea
55,6,9,21.4,88,5.32,802,Sandy Loam,146,Cassava
41,14,3,33.5,37,7.88,290,Loam,169,Sorghum
90,47,32,28.6,69,7.25,918,Loam,171,Maize
38,13,51,17.9,77,5.62,446,Sandy Loam,226,Beans
32,18,0,32.0,43,6.26,224,Loam,252,Sorghum
13,11,32,33.5,29,6.82,217,Sandy Loam,137,Sorghum
45,48,46,23.9,43,5.34,323,Sandy Loam,270,Beans
26,36,94,19.5,99,4.85,714,Sandy Loam,129,Cassava
30,22,33,26.8,63,6.78,392,Clay,139,Beans
119,16,51,23.3,76,7.24,635,Sandy Loam,166,Maize
36,23,113,28.1,76,5.46,895,Loam,225,Cassava
91,9,63,19.8,42,6.09,504,Loam,103,Wheat
43,36,56,24.4,73,5.12,540,Sandy Loam,150,Cassava
101,45,35,12.4,42,7.0,597,Silty Loam,101,Wheat
66,47,50,15.3,52,7.51,473,Sandy Loam,187,Wheat
67,47,60,18.1,85,5.71,1815,Loam,95,Tea
77,53,29,18.1,64,5.81,502,Clay,121,Wheat
84,12,77,24.7,68,7.12,283,Clay,209,Wheat
29,27,16,27.4,28,7.77,410,Loam,175,Sorghum
30,2,29,29.7,46,6.99,502,Loam,198,Sorghum
